iter	Passed	Remaining
480	627	676
481	628	675
482	629	673
483	630	671
484	631	670
485	631	668
486	632	666
487	633	664
488	636	664
489	636	662
490	637	661
491	638	659
492	639	657
493	640	656
494	641	654
495	642	652
496	642	650
497	643	648
498	644	647
499	645	645
500	646	643
501	647	641
502	647	640
503	649	639
504	650	637
505	651	636
506	652	634
507	653	633
508	654	631
509	655	630
510	656	628
511	657	626
512	658	625
513	659	623
514	660	621
515	661	620
516	661	618
517	662	616
518	664	616
519	665	614
520	666	613
521	667	611
522	668	609
523	669	607
524	670	606
525	670	604
526	671	602
527	672	601
528	673	599
529	674	597
530	675	596
531	675	594
532	676	592
533	677	591
534	678	590
535	679	588
536	680	586
537	681	585
538	682	583
539	682	581
540	683	580
541	684	578
542	685	576
543	686	575
544	687	573
545	688	572
546	688	570
547	689	568
548	690	567
549	692	566
550	693	565
551	694	563
552	695	562
553	696	560
554	697	559
555	697	557
556	698	555
557	699	554
558	700	552
559	701	550
560	702	549
561	702	547
562	703	546
563	704	544
564	705	543
565	707	542
566	707	540
567	708	539
568	709	537
569	710	536
570	711	534
571	712	533
572	713	531
573	714	530
574	715	528
575	715	527
576	716	525
577	717	523
578	718	522
579	719	521
580	721	520
581	722	518
582	722	517
583	723	515
584	724	514
585	725	512
586	726	510
587	726	509
588	727	507
589	728	506
590	729	504
591	730	503
592	731	502
593	732	500
594	733	499
595	734	497
596	735	496
597	736	495
598	737	493
599	738	492
600	739	490
601	740	489
602	740	487
603	741	486
604	742	484
605	743	483
606	744	481
607	744	480
608	745	478
609	746	477
610	747	475
611	747	474
612	748	472
613	749	471
614	750	470
615	751	468
616	752	467
617	753	465
618	753	464
619	754	462
620	755	461
621	756	459
622	757	458
623	757	456
624	758	455
625	759	453
626	760	452
627	761	450
628	762	449
629	762	448
630	764	446
631	765	445
632	766	444
633	766	442
634	767	441
635	768	439
636	769	438
637	770	436
638	770	435
639	771	434
640	772	432
641	773	431
642	774	429
643	775	428
644	775	427
645	776	425
646	778	424
647	779	423
648	780	421
649	781	420
650	781	419
651	782	417
652	783	416
653	784	415
654	785	413
655	786	412
656	786	410
657	787	409
658	788	407
659	789	406
660	789	405
661	790	403
662	791	402
663	793	401
664	794	399
665	794	398
666	795	397
667	796	395
668	797	394
669	797	393
670	798	391
671	799	390
672	800	389
673	802	388
674	803	386
675	804	385
676	805	384
677	806	382
678	807	381
679	808	380
680	809	379
681	810	377
682	811	376
683	812	375
684	812	373
685	813	372
686	814	371
687	815	369
688	816	368
689	816	367
690	817	365
691	818	364
692	819	363
693	820	361
694	821	360
695	822	359
696	823	358
697	824	356
698	825	355
699	826	354
700	826	352
701	827	351
702	828	350
703	829	348
704	830	347
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	834	339
711	836	338
712	837	337
713	838	335
714	839	334
715	839	333
716	840	331
717	841	330
718	842	329
719	843	327
720	844	326
721	845	325
722	845	324
723	846	322
724	847	321
725	848	320
726	849	318
727	850	317
728	851	316
729	852	315
730	853	313
731	854	312
732	854	311
733	855	310
734	856	308
735	857	307
736	858	306
737	859	304
738	859	303
739	860	302
740	861	301
741	862	299
742	863	298
743	863	297
744	864	296
745	866	294
746	867	293
747	867	292
748	868	291
749	869	289
750	870	288
751	871	287
752	872	286
753	873	284
754	873	283
755	874	282
756	875	280
757	876	279
758	877	278
759	878	277
760	879	276
761	880	275
762	881	273
763	882	272
764	882	271
765	883	269
766	884	268
767	885	267
768	886	266
769	886	264
770	887	263
771	888	262
772	889	261
773	889	259
774	890	258
775	891	257
776	892	256
777	893	255
778	895	253
779	895	252
780	896	251
781	897	250
782	898	248
783	898	247
784	899	246
785	900	245
786	901	244
787	902	242
788	903	241
789	904	240
790	904	239
791	905	237
792	906	236
793	907	235
794	909	234
795	909	233
796	910	232
797	911	230
798	912	229
799	913	228
800	914	227
801	915	225
802	916	224
803	916	223
804	917	222
805	918	221
806	919	219
807	920	218
808	921	217
809	921	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	929	206
818	930	205
819	931	204
820	932	203
821	933	202
822	934	200
823	935	199
824	935	198
825	937	197
826	938	196
827	939	195
828	940	193
829	941	192
830	941	191
831	942	190
832	943	189
833	944	187
834	945	186
835	945	185
836	946	184
837	947	183
838	948	181
839	949	180
840	950	179
841	953	178
842	954	177
843	954	176
844	955	175
845	957	174
846	958	173
847	959	171
848	960	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	967	162
856	968	161
857	969	160
858	970	159
859	970	158
860	971	156
861	972	155
862	973	154
863	974	153
864	975	152
865	976	151
866	977	149
867	978	148
868	981	147
869	982	146
870	983	145
871	984	144
872	985	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	991	135
880	991	133
881	992	132
882	993	131
883	995	130
884	996	129
885	997	128
886	998	127
887	998	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1003	119
894	1004	117
895	1005	116
896	1007	115
897	1008	114
898	1009	113
899	1010	112
900	1011	111
901	1012	109
902	1013	108
903	1013	107
904	1014	106
905	1015	105
906	1016	104
907	1017	103
908	1018	101
909	1018	100
910	1021	99
911	1025	98
912	1026	97
913	1027	96
914	1028	95
915	1029	94
916	1029	93
917	1030	92
918	1031	90
919	1032	89
920	1033	88
921	1034	87
922	1035	86
923	1036	85
924	1037	84
925	1038	83
926	1039	81
927	1040	80
928	1041	79
929	1042	78
930	1043	77
931	1043	76
932	1044	75
933	1045	73
934	1046	72
935	1047	71
936	1048	70
937	1049	69
938	1050	68
939	1051	67
940	1053	66
941	1054	64
942	1055	63
943	1056	62
944	1057	61
945	1058	60
946	1058	59
947	1059	58
948	1061	57
949	1062	55
950	1063	54
951	1064	53
952	1065	52
953	1085	52
954	1086	51
955	1087	50
956	1088	48
957	1088	47
958	1089	46
959	1090	45
960	1091	44
961	1091	43
962	1092	41
963	1093	40
964	1094	39
965	1094	38
966	1095	37
967	1096	36
968	1097	35
969	1099	33
970	1100	32
971	1100	31
972	1101	30
973	1102	29
974	1103	28
975	1104	27
976	1104	26
977	1105	24
978	1106	23
979	1107	22
980	1108	21
981	1108	20
982	1109	19
983	1110	18
984	1111	16
985	1114	15
986	1115	14
987	1115	13
988	1116	12
989	1117	11
990	1118	10
991	1119	9
992	1120	7
993	1121	6
994	1122	5
995	1122	4
996	1123	3
997	1124	2
998	1125	1
999	1128	0
